year,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flag_abs_bias_gt_1,flag_rmse_gt_1_25x_overall,flag_n_lt_20
2003,5,2.257730104561956,1.8121611218310203,-0.892221939463262,-0.8801122642065069,-3.704510520872228,1.6750192537740394,False,False,True
2004,42,2.3058658608889573,1.9795417880257222,-0.7590477470471305,-1.1438565866218677,-3.345404527193672,2.891935602780465,False,False,False
2005,42,1.752457980183849,1.4498659342384979,-0.0806299693011338,-0.22160789741735165,-2.347342784463617,2.662976781380272,False,False,False
2006,11,2.186456026479089,1.779846670295977,1.0483527606610006,0.4433172619023811,-1.420287287418983,3.6492748302497064,True,False,True
2007,1,1.9837131278013378,1.9837131278013378,1.9837131278013378,1.9837131278013378,1.9837131278013378,1.9837131278013378,True,False,True
2009,28,2.6677188932013975,2.0842139940013396,-0.18337694684620484,-0.012858534153289192,-3.6400747549975194,5.380538146923833,False,False,False
2010,30,2.8820359982858132,2.3005089734263082,1.3984818057925523,1.0948061865565077,-1.8797012541285414,5.300711527124122,True,True,False
2011,30,3.3400849243579382,2.250290764434534,1.9124279989463655,0.9049907618052417,-0.7866157937701244,7.394515146219651,True,True,False
2012,23,1.7887736099800469,1.3184981224779144,-0.09110529667801719,-0.20048515467789496,-2.172395213105018,1.9879981209360014,False,False,False
2013,33,2.3117812766090715,1.7881198130515565,0.005449080960687498,-0.6044134585860306,-2.8763453836684247,4.048262089667723,False,False,False
2014,35,2.6478724846112196,1.7756519218303233,0.47750316485529537,-0.2982300634014976,-2.066988062256724,4.894323891695287,False,False,False
2015,36,1.9651657562615739,1.6289519633118001,-0.3744374857189228,-0.5782101993623705,-2.934936353275778,2.721605977997338,False,False,False
2016,37,1.9937952990855208,1.5903295024586037,-0.6458472109729015,-0.7573770471787551,-3.874092658971172,2.98260166981565,False,False,False
2017,35,2.246377268638058,1.633956840001499,-0.2045346297672317,0.2097218283163782,-4.915679901100896,3.080856727322586,False,False,False
2018,35,2.070611287962595,1.6657644275489407,-0.283742079712015,-0.1489607062367293,-3.9517848385322507,2.6791978222138475,False,False,False
2019,26,2.2148607323739578,1.7221759425196486,-0.18654513285013793,-0.3996044318149874,-2.9857649950232963,3.3505293864581644,False,False,False
2020,31,1.7359368590917745,1.3781608839264898,-0.24877468779194903,-0.30967902277197235,-2.890632576223524,2.4512617947317903,False,False,False
2021,37,1.9667798384037045,1.5792011983632355,-0.7627624291459458,-0.5766638865091913,-3.7296312380408803,2.078537775502165,False,False,False
2022,10,2.2660846553129717,1.5508673794930055,0.75851775554948,0.48294893091442903,-1.5030996646707258,4.297790007522371,False,False,True
2023,12,1.6063298656323735,1.2637241421862944,0.9194188170755199,1.0558845471531237,-0.8824917860540065,2.982009347484724,False,False,True
2024,6,1.0288018842787083,0.780090474024114,-0.7720977633183198,-0.654333125975286,-1.8130763802155985,-0.031572904678109914,False,False,True
