table_name,river,row_count
doc_labels_gold.csv,Kolyma,87
doc_labels_gold.csv,Lena,87
doc_labels_gold.csv,Mackenzie,103
doc_labels_gold.csv,Ob,87
doc_labels_gold.csv,Yenisey,87
doc_labels_gold.csv,Yukon,96
training_matrix_hydrocore.csv,Kolyma,87
training_matrix_hydrocore.csv,Lena,87
training_matrix_hydrocore.csv,Mackenzie,103
training_matrix_hydrocore.csv,Ob,87
training_matrix_hydrocore.csv,Yenisey,87
training_matrix_hydrocore.csv,Yukon,96
training_matrix_basin_context.csv,Kolyma,87
training_matrix_basin_context.csv,Lena,87
training_matrix_basin_context.csv,Mackenzie,103
training_matrix_basin_context.csv,Ob,87
training_matrix_basin_context.csv,Yenisey,87
training_matrix_basin_context.csv,Yukon,96
training_matrix_optical_matched_0d.csv,Kolyma,29
training_matrix_optical_matched_0d.csv,Lena,22
training_matrix_optical_matched_0d.csv,Mackenzie,44
training_matrix_optical_matched_0d.csv,Ob,26
training_matrix_optical_matched_0d.csv,Yenisey,29
training_matrix_optical_matched_0d.csv,Yukon,38
training_matrix_optical_matched_1d.csv,Kolyma,48
training_matrix_optical_matched_1d.csv,Lena,38
training_matrix_optical_matched_1d.csv,Mackenzie,70
training_matrix_optical_matched_1d.csv,Ob,41
training_matrix_optical_matched_1d.csv,Yenisey,45
training_matrix_optical_matched_1d.csv,Yukon,55
training_matrix_optical_matched_3d.csv,Kolyma,59
training_matrix_optical_matched_3d.csv,Lena,53
training_matrix_optical_matched_3d.csv,Mackenzie,81
training_matrix_optical_matched_3d.csv,Ob,49
training_matrix_optical_matched_3d.csv,Yenisey,54
training_matrix_optical_matched_3d.csv,Yukon,78
training_matrix_optical_matched_3d_hls.csv,Kolyma,20
training_matrix_optical_matched_3d_hls.csv,Lena,20
training_matrix_optical_matched_3d_hls.csv,Mackenzie,30
training_matrix_optical_matched_3d_hls.csv,Ob,23
training_matrix_optical_matched_3d_hls.csv,Yenisey,24
training_matrix_optical_matched_3d_hls.csv,Yukon,27
training_matrix_optical_matched_3d_landsat.csv,Kolyma,33
training_matrix_optical_matched_3d_landsat.csv,Lena,23
training_matrix_optical_matched_3d_landsat.csv,Mackenzie,41
training_matrix_optical_matched_3d_landsat.csv,Ob,20
training_matrix_optical_matched_3d_landsat.csv,Yenisey,27
training_matrix_optical_matched_3d_landsat.csv,Yukon,40
training_matrix_optical_matched_3d_sentinel2.csv,Kolyma,6
training_matrix_optical_matched_3d_sentinel2.csv,Lena,10
training_matrix_optical_matched_3d_sentinel2.csv,Mackenzie,10
training_matrix_optical_matched_3d_sentinel2.csv,Ob,6
training_matrix_optical_matched_3d_sentinel2.csv,Yenisey,3
training_matrix_optical_matched_3d_sentinel2.csv,Yukon,11
training_matrix_optical_matched_7d.csv,Kolyma,67
training_matrix_optical_matched_7d.csv,Lena,60
training_matrix_optical_matched_7d.csv,Mackenzie,89
training_matrix_optical_matched_7d.csv,Ob,54
training_matrix_optical_matched_7d.csv,Yenisey,65
training_matrix_optical_matched_7d.csv,Yukon,85
prediction_grid_daily_hydrocore.csv,Kolyma,9497
prediction_grid_daily_hydrocore.csv,Lena,9497
prediction_grid_daily_hydrocore.csv,Mackenzie,9472
prediction_grid_daily_hydrocore.csv,Ob,9476
prediction_grid_daily_hydrocore.csv,Yenisey,5241
prediction_grid_daily_hydrocore.csv,Yukon,9411
prediction_grid_daily_with_basin_context.csv,Kolyma,9497
prediction_grid_daily_with_basin_context.csv,Lena,9497
prediction_grid_daily_with_basin_context.csv,Mackenzie,9472
prediction_grid_daily_with_basin_context.csv,Ob,9476
prediction_grid_daily_with_basin_context.csv,Yenisey,5241
prediction_grid_daily_with_basin_context.csv,Yukon,9411
basin_attributes_curated.csv,Kolyma,40
basin_attributes_curated.csv,Lena,40
basin_attributes_curated.csv,Mackenzie,40
basin_attributes_curated.csv,Ob,40
basin_attributes_curated.csv,Yenisey,40
basin_attributes_curated.csv,Yukon,40
basin_attributes_curated_wide.csv,Kolyma,1
basin_attributes_curated_wide.csv,Lena,1
basin_attributes_curated_wide.csv,Mackenzie,1
basin_attributes_curated_wide.csv,Ob,1
basin_attributes_curated_wide.csv,Yenisey,1
basin_attributes_curated_wide.csv,Yukon,1
basin_context_gold.csv,Kolyma,1
basin_context_gold.csv,Lena,1
basin_context_gold.csv,Mackenzie,1
basin_context_gold.csv,Ob,1
basin_context_gold.csv,Yenisey,1
basin_context_gold.csv,Yukon,1
daily_discharge_gold.csv,Kolyma,17563
daily_discharge_gold.csv,Lena,32890
daily_discharge_gold.csv,Mackenzie,19619
daily_discharge_gold.csv,Ob,32852
daily_discharge_gold.csv,Yenisey,32904
daily_discharge_gold.csv,Yukon,18542
daily_hydroclimate_gold.csv,Kolyma,9497
daily_hydroclimate_gold.csv,Lena,9497
daily_hydroclimate_gold.csv,Mackenzie,9497
daily_hydroclimate_gold.csv,Ob,9497
daily_hydroclimate_gold.csv,Yenisey,5241
daily_hydroclimate_gold.csv,Yukon,9497
optical_timeseries_gold.csv,Kolyma,21368
optical_timeseries_gold.csv,Lena,21494
optical_timeseries_gold.csv,Mackenzie,22346
optical_timeseries_gold.csv,Ob,24866
optical_timeseries_gold.csv,Yenisey,27824
optical_timeseries_gold.csv,Yukon,24160
lab_optical_proxy_gold.csv,Kolyma,139
lab_optical_proxy_gold.csv,Lena,141
lab_optical_proxy_gold.csv,Mackenzie,164
lab_optical_proxy_gold.csv,Ob,142
lab_optical_proxy_gold.csv,Yenisey,142
lab_optical_proxy_gold.csv,Yukon,154
roi_catalog_gold.csv,Kolyma,6
roi_catalog_gold.csv,Lena,6
roi_catalog_gold.csv,Mackenzie,9
roi_catalog_gold.csv,Ob,6
roi_catalog_gold.csv,Yenisey,6
roi_catalog_gold.csv,Yukon,6
